time_yrs,qwS_I1,qwS_M1,qwS_M2,qwS_M3,qwS_P1,qwS_P2,qwS_P3,qgS_I1,qgS_M1,qgS_M2,qgS_M3,qgS_P1,qgS_P2,qgS_P3,BHP_I1,BHP_M1,BHP_M2,BHP_M3,BHP_P1,BHP_P2,BHP_P3
30,0,0,0,0,-0.0233485971350371,-0.028388867931032,-0.0122106553936084,0.170784842990159,0,0,0,-0.0231742351026916,-0.0410284412335669,-0.00172341629125134,69983754.7828149,63139085.946248,61205440.5864542,75681720.7665315,17700170.44746,13766799.2369133,13766799.2369133
31,0,0,0,0,-0.0225177823052732,-0.0275101679598856,-0.011747784828382,0.170784842990159,0,0,0,-0.0258874811237377,-0.0445633661291189,-0.002655155055311,69855857.1690488,62996420.6168631,61061029.5136875,75554595.5483351,17700170.44746,13766799.2369133,13766799.2369133
32,0,0,0,0,-0.0217493719192192,-0.0267040992144119,-0.0111718478315891,0.170784842990159,0,0,0,-0.0284381215389771,-0.0478388731221437,-0.00394683096403542,69710784.0483845,62821031.4575569,60887888.7646891,75386174.7249352,17700170.44746,13766799.2369133,13766799.2369133
33,0,0,0,0,-0.0210319193294941,-0.0259604750304949,-0.0105616614862728,0.170784842990159,0,0,0,-0.0308383152116686,-0.0508684516633048,-0.00552144195983741,69548573.6531626,62616336.675229,60688648.198711,75180243.5624999,17700170.44746,13766799.2369133,13766799.2369133
34,0,0,0,0,-0.0203590354671359,-0.0252671768061416,-0.0100211639409316,0.170784842990159,0,0,0,-0.0330925467897294,-0.0536791444602414,-0.00707580676901073,69370059.445987,62385396.6614204,60465690.4731778,74940709.956846,17700170.44746,13766799.2369133,13766799.2369133
35,0,0,0,0,-0.019725056933284,-0.0246074742715435,-0.00954602071922777,0.170784842990159,0,0,0,-0.0352066987472672,-0.0563185813262439,-0.00853489094667609,69176677.3358617,62130993.1412611,60221180.301781,74671391.4682872,17700170.44746,13766799.2369133,13766799.2369133
36,0,0,0,0,-0.019124091851953,-0.023965784160719,-0.0091200321463684,0.170784842990159,0,0,0,-0.0371895475798648,-0.0588313675293832,-0.00989556862299048,68969941.438857,61855696.0936685,59957137.6541116,74375856.931345,17700170.44746,13766799.2369133,13766799.2369133
37,0,0,0,0,-0.0185513586539657,-0.0233359896476701,-0.00874547181302164,0.170784842990159,0,0,0,-0.0390487734933293,-0.0612308731543398,-0.0111200791434263,68751413.897094,61561884.7770926,59675470.6312087,74057379.8994119,17700170.44746,13766799.2369133,13766799.2369133
38,0,0,0,0,-0.0180034196395544,-0.0227217952289575,-0.00842049784443445,0.170784842990159,0,0,0,-0.0407901672752181,-0.0635013378887605,-0.0121918741125928,68522671.564848,61251760.878183,59377991.7273876,73718890.9813956,17700170.44746,13766799.2369133,13766799.2369133
39,0,0,0,0,-0.017477949193958,-0.0221278948709817,-0.008137296001532,0.170784842990159,0,0,0,-0.0424181888590352,-0.0656309503681649,-0.0131224276457308,68285266.8175539,60927361.7651429,59066427.6560054,73363032.0017466,17700170.44746,13766799.2369133,13766799.2369133
40,0,0,0,0,-0.0169734750463038,-0.0215515934911881,-0.00788740580842817,0.170784842990159,0,0,0,-0.0439363717961622,-0.0676339915444341,-0.0139320934679812,68040612.7765687,60590570.8446865,58742424.9291834,72992278.7690457,17700170.44746,13766799.2369133,13766799.2369133
41,0,0,0,0,-0.016488909778936,-0.0209877424268021,-0.00766377749618842,0.170784842990159,0,0,0,-0.0453482679954678,-0.0695283079260148,-0.0146405090347349,67789938.5227407,60243128.4930961,58407552.3165709,72608805.5248969,17700170.44746,13766799.2369133,13766799.2369133
42,0,0,0,0,-0.0160233246239923,-0.0204385138826023,-0.00746104418975638,0.170784842990159,0,0,0,-0.0466577742049984,-0.0713070491748711,-0.0152638129472684,67534318.3156123,59886639.9497694,58063298.5885856,72214565.1097915,17700170.44746,13766799.2369133,13766799.2369133
43,0,0,0,0,-0.0155759410223185,-0.0199104966917699,-0.00727526689321538,0.170784842990159,0,0,0,-0.0478689493729793,-0.0729518663483309,-0.0158145154970116,67274743.1699782,59522585.6812076,57711074.1674844,71811320.2207681,17700170.44746,13766799.2369133,13766799.2369133
44,0,0,0,0,-0.015146105470766,-0.0194080752200562,-0.00710360389164762,0.170784842990159,0,0,0,-0.0489859483619403,-0.074457268551199,-0.0163021398854571,67012147.6254903,59152333.5625689,57352215.7728822,71400593.4949606,17700170.44746,13766799.2369133,13766799.2369133
45,0,0,0,0,-0.0147332398216038,-0.0189326427943675,-0.00694400699959572,0.170784842990159,0,0,0,-0.0500130257154729,-0.0758287868505438,-0.0167340241377895,66747398.9282949,58777144.7128198,56987983.7261328,70983781.7454708,17700170.44746,13766799.2369133,13766799.2369133
46,0,0,0,0,-0.014336806067628,-0.0184794048398995,-0.00679496256240555,0.170784842990159,0,0,0,-0.0509544560340535,-0.0770922842964736,-0.0171160785261152,66481260.9782903,58398180.3777503,56619560.6004649,70562159.9198249,17700170.44746,13766799.2369133,13766799.2369133
47,0,0,0,0,-0.0139562680987562,-0.0180340115402747,-0.0066552793103338,0.170784842990159,0,0,0,-0.0518143966232467,-0.0783046650820192,-0.0174534229043483,66214322.9738174,58016508.9676171,56248051.1984429,70136894.0721884,17700170.44746,13766799.2369133,13766799.2369133
48,0,0,0,0,-0.0135910458740723,-0.0175809770362569,-0.00652390929481677,0.170784842990159,0,0,0,-0.05259678263727,-0.0795216862947801,-0.017750938716672,65946961.571654,57633112.6275669,55874483.1954415,69709054.4978428,17700170.44746,13766799.2369133,13766799.2369133
49,0,0,0,0,-0.0132404866269442,-0.0171132151937928,-0.0063998101216588,0.170784842990159,0,0,0,-0.0533053200683996,-0.0807646530647717,-0.0180137053017647,65679390.1952119,57248893.2066356,55499808.2967509,69279626.6782203,17700170.44746,13766799.2369133,13766799.2369133
50,0,0,0,0,-0.0129038701086889,-0.0166331590924046,-0.00628184380358641,0.170784842990159,0,0,0,-0.0539435753538724,-0.0820191751802179,-0.0182473122088005,65411754.5451025,56864677.6171194,55124903.8862651,68849519.8097947,17700170.44746,13766799.2369133,13766799.2369133
