time_yrs,qwS_I1,qwS_M1,qwS_M2,qwS_M3,qwS_P1,qwS_P2,qwS_P3,qgS_I1,qgS_M1,qgS_M2,qgS_M3,qgS_P1,qgS_P2,qgS_P3,BHP_I1,BHP_M1,BHP_M2,BHP_M3,BHP_P1,BHP_P2,BHP_P3
39,0,0,0,0,-0.0167296520393486,-0.0208268488507089,-0.00983660159194423,0.170784842990159,0,0,0,-0.0327337229672215,-0.0519954969854093,-0.0404333872775174,61680847.6375447,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
40,0,0,0,0,-0.016247790743339,-0.0202659687925871,-0.00952994503346179,0.170784842990159,0,0,0,-0.0340102493260086,-0.0538564527381142,-0.041629672655381,61399780.9604874,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
41,0,0,0,0,-0.0157879695271562,-0.019731265032042,-0.00924708021158813,0.170784842990159,0,0,0,-0.0351813737238086,-0.0555952033753884,-0.0426752297634615,61111842.1045323,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
42,0,0,0,0,-0.0153484168835002,-0.0191988768159917,-0.00898542290756578,0.170784842990159,0,0,0,-0.0362534017713449,-0.0572931465088647,-0.043584037877301,60818291.4982978,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
43,0,0,0,0,-0.0149278510692568,-0.0186528894542208,-0.00874253707742927,0.170784842990159,0,0,0,-0.0372314872367907,-0.0589994961568354,-0.0443698261499275,60520036.9028064,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
44,0,0,0,0,-0.0145252619990042,-0.0180911634178793,-0.00851609941030584,0.170784842990159,0,0,0,-0.0381200207047689,-0.0607156507680391,-0.0450460594608142,60217782.8974796,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
45,0,0,0,0,-0.0141396803882653,-0.0175188081340591,-0.00830388342082516,0.170784842990159,0,0,0,-0.0389233155929605,-0.0624210797749796,-0.045625979395411,59912157.5655029,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
46,0,0,0,0,-0.0137701592342854,-0.0169484800533452,-0.00810375483803617,0.170784842990159,0,0,0,-0.0396458175279712,-0.0640705581720069,-0.0461227885621632,59603824.9784236,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
47,0,0,0,0,-0.013415844790154,-0.0163970923526605,-0.00791366420034912,0.170784842990159,0,0,0,-0.0402921046374415,-0.0656032094861507,-0.0465497979619537,59293579.8049643,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
48,0,0,0,0,-0.0130759768228606,-0.0158728195692455,-0.00773165159554081,0.170784842990159,0,0,0,-0.0408669699750056,-0.0669923914165927,-0.0469203875440872,58982294.2045825,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
49,0,0,0,0,-0.0127498239067294,-0.0153713125692739,-0.0075558974175436,0.170784842990159,0,0,0,-0.0413754432135002,-0.0682615284675349,-0.0472474527756692,58670753.7697888,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
50,0,0,0,0,-0.0124366339215618,-0.0148875351692025,-0.00738478600533372,0.170784842990159,0,0,0,-0.0418226698001707,-0.0694356070165874,-0.0475426657478755,58359589.8432909,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
